lsalary,lsales,firm_type
7.549609184,9.78710556,consumer product
6.056784153,8.725621223,consumer product
7.438383579,8.821023941,consumer product
5.886104107,5.699440002,consumer product
6.129050255,6.666065693,consumer product
7.200424671,7.221543789,consumer product
6.591673851,7.633418083,consumer product
5.407171726,5.201255798,consumer product
7.650168896,9.239899635,consumer product
6.986566544,9.326521873,consumer product
7.484930515,8.554797173,consumer product
6.673297882,6.884179592,consumer product
7.645875931,8.945267677,consumer product
7.360739708,8.764990807,consumer product
6.951772213,7.978447914,consumer product
7.434847832,8.108592987,consumer product
6.115891933,5.165928364,consumer product
7.02997303,7.43029213,consumer product
7.195937157,6.242417812,consumer product
7.20340538,8.017208099,consumer product
7.368339539,8.452527046,consumer product
7.573531151,9.03456974,consumer product
7.389564037,8.940210342,consumer product
7.390181541,9.767313004,consumer product
6.874198437,8.662349701,consumer product
7.266129017,8.838726044,consumer product
7.115581989,8.780034065,consumer product
6.646390438,7.906768322,consumer product
7.37400198,7.923674107,consumer product
7.357556343,8.552830696,consumer product
6.902742863,7.187657356,consumer product
6.981934547,8.574707031,consumer product
7.057036877,8.87863636,consumer product
7.244941711,9.407837868,consumer product
7.027314663,8.969986916,consumer product
8.028780937,8.249470711,consumer product
6.593044758,7.012655735,consumer product
6.591673851,7.237993717,consumer product
9.326611519,8.707466125,consumer product
6.855408669,9.847340584,consumer product
8.201385498,8.27422905,consumer product
7.314552784,8.147230148,consumer product
6.693323612,7.351479053,consumer product
6.569481373,6.869845867,consumer product
7.305860043,10.1599884,consumer product
6.601230145,6.448097706,consumer product
7.111512184,7.455240726,consumer product
6.297109127,7.889571667,consumer product
9.603867531,7.677493095,consumer product
6.791221619,7.86810112,consumer product
7.394493103,9.020425797,consumer product
7.786551952,10.6992588,consumer product
7.717796326,6.639483452,consumer product
6.668228149,8.550144196,utility
6.161207199,7.677539349,utility
6.084499359,7.869822025,utility
6.142037392,7.769674301,utility
6.386879444,7.917171955,utility
6.533788681,7.765526772,utility
6.408528805,8.568266869,utility
6.452048779,8.655022621,utility
6.276643276,7.906510353,utility
6.089045048,8.10370636,utility
6.542471886,8.169760704,utility
6.253829002,8.211075783,utility
6.62936306,8.289565086,utility
6.504288197,8.005033493,utility
6.688354492,8.337731361,utility
6.214608192,7.869516373,utility
6.313548088,7.632643223,utility
6.021023273,7.707736969,utility
7.003065586,9.155894279,utility
6.86589098,8.238325119,utility
5.808142662,7.778504372,utility
6.220590115,8.217492104,utility
6.104793072,7.252550125,utility
6.595780373,8.476391792,utility
6.579251289,7.479807854,utility
6.694561958,8.881628036,utility
6.835184574,7.319268703,utility
6.26339817,7.000425816,utility
6.489204884,8.421255112,utility
6.318968296,7.612336636,utility
6.439350605,7.274133205,utility
